ID,Airline,Airplane Model,Origin,Destination,Passengers,Ticket Cost,Minutes,Distance (km),Date,Flight Type,Pilot Name,Revenue(Without Discounts),Departure Time,Arrival Time,Flight Status,Fuel Consumption (liters),CO2 Emissions (kg),Load Factor (%),Delay Minutes,Fuel Type, Service Class, Delay Reason,Fuel Cost (liter),Total Fuel Cost,Pilot Payment (Hour),Total Pilot Payment ,Maintenance Cost,Airport Fees,Insurance Cost,Total Costs,Total Revenue,Unnamed: 32,Unnamed: 33,Results,Unnamed: 35
201,Delta Air Lines,Boeing 737-800,ATL,MCO,162,224.0,90,640,2025-02-15,Domestic,Capt. Jessica Lee,31590,08:00:00,09:30:00,Completed,5800,15080,85,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,17210.0,,,Revenues,43351796.0
202,Emirates,Airbus A380-800,DXB,JFK,489,8265.0,780,11020,2025-02-16,International,Capt. Ahmed Al-Farsi,660150,22:00:00,11:00+1,Completed,52000,135200,95,0,Jet A-1,First Class,-,2.2,114400.00000000001,120,1560,900,1600,500,118960.00000000001,541190.0,,,Losses,-105804.00000000001
203,Southwest Airlines,Boeing 737-700,DAL,HOU,143,136.5,45,390,2025-02-17,Domestic,Capt. Mike Johnson,15730,09:15:00,10:00:00,Completed,3200,8320,88,0,Jet A,Economy,-,2.2,7040.000000000001,120,90,190,750,500,8570.0,7160.0,,,Final Revenues,43245992.0
204,Lufthansa,Boeing 747-8,FRA,LAX,365,2885.0,660,5770,2025-02-18,International,Capt. Klaus Schmidt,419750,15:30:00,05:30+1,Completed,42000,109200,89,0,Jet A-1,Business,-,2.2,92400.00000000001,120,1320,520,1600,500,96340.00000000001,323410.0,,,Sum of Distance (m),844380.0
205,Volaris,Airbus A320neo,MEX,CUN,180,280.0,90,800,2025-02-19,Domestic,Capt. Carlos Ruiz,33300,12:30:00,14:00:00,Completed,7800,20280,94,0,Jet A,Economy,-,2.2,17160.0,120,180,190,750,500,18780.0,14520.0,,,Count of Passengers,70207.0
206,Qantas,Boeing 787-9,SYD,AKL,242,752.5,180,2150,2025-02-20,International,Capt. Olivia Brown,229900,08:45:00,11:45:00,Completed,18000,46800,85,0,Jet A-1,Premium Economy,-,2.2,39600.0,120,360,250,1600,500,42310.0,187590.0,,,,
207,American Airlines,Boeing 777-300ER,DFW,LHR,312,2505.0,540,5010,2025-02-21,International,Capt. David Wilson,374400,18:45:00,09:45+1,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1080,520,1600,500,85100.0,289300.0,,,,
208,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-02-22,International,Capt. Wei Chen,13950,16:00:00,16:45:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,1670.0,,,,
209,United Airlines,Boeing 787-9,ORD,HNL,248,1323.0,540,3780,2025-02-23,Domestic,Capt. Emily Chen,210800,07:00:00,16:00:00,Completed,30000,78000,90,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,750,500,68580.0,142220.0,,,,
210,Singapore Airlines,Airbus A350-900,SIN,SYD,301,2940.0,480,3920,2025-02-24,International,Capt. Raj Patel,376250,20:15:00,06:15+1,Completed,31000,80600,92,0,Jet A-1,First Class,-,2.2,68200.0,120,960,900,1600,500,72160.0,304090.0,,,,
211,Alaska Airlines,Boeing 737-800,SEA,PDX,148,84.0,45,240,2025-02-25,Domestic,Capt. Laura Adams,18500,10:30:00,11:15:00,Completed,3000,7800,84,0,Jet A,Economy,-,2.2,6600.000000000001,120,90,190,750,500,8130.000000000001,10370.0,,,,
212,Japan Airlines,Boeing 787-8,HND,HKG,242,1050.0,300,2100,2025-02-26,International,Capt. Hiroshi Tanaka,237160,12:15:00,17:15:00,Completed,22000,57200,88,0,Jet A-1,Business,-,2.2,48400.00000000001,120,600,520,1600,500,51620.00000000001,185540.0,,,,
213,Spirit Airlines,Airbus A321-200,FLL,ATL,235,336.0,90,960,2025-02-27,Domestic,Capt. Brian Miller,22325,11:20:00,12:50:00,Completed,11000,28600,89,0,Jet A,Economy,-,2.2,24200.000000000004,120,180,190,750,500,25820.000000000004,-3495.0000000000036,,,,
214,Turkish Airlines,Boeing 777-300ER,IST,ORD,342,2550.0,600,5100,2025-02-28,International,Capt. Mehmet YÄ±lmaz,376200,13:30:00,23:30:00,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1200,520,1600,500,85220.0,290980.0,,,,
215,Air France,Airbus A350-900,CDG,JFK,301,1270.5,420,3630,2025-03-01,International,Capt. Sophie Laurent,316050,15:45:00,21:45:00,Delayed,32000,83200,90,25,Jet A-1,Premium Economy,Weather,2.2,70400.0,120,840,250,1600,500,73590.0,242460.0,,,,
216,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-03-02,Domestic,Capt. Daniel White,13800,07:45:00,08:25:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,6119.999999999999,,,,
217,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-03-03,International,Capt. Emily Wong,498150,10:15:00,01:15+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,407670.0,,,,
218,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-03-04,Domestic,Capt. Kevin Taylor,14820,14:30:00,16:00:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1100.0000000000018,,,,
219,Qatar Airways,Boeing 777-300ER,DOH,JFK,312,4140.0,660,5520,2025-03-05,International,Capt. Ali Al-Mansoori,468000,02:30:00,14:30:00,Completed,43000,111800,93,0,Jet A-1,First Class,-,2.2,94600.00000000001,120,1320,900,1600,500,98920.00000000001,369080.0,,,,
220,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-03-06,International,Capt. Juan RodrÃ­guez,55680,09:15:00,12:15:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,21070.0,,,,
221,Air Canada,Airbus A330-300,YUL,YYZ,124,105.0,60,300,2025-03-07,Domestic,Capt. Sarah Johnson,21700,11:30:00,12:30:00,Completed,4500,11700,81,0,Jet A,Economy,-,2.2,9900.0,120,120,190,750,500,11460.0,10240.0,,,,
222,Ryanair,Boeing 737-800,STN,DUB,189,164.5,90,470,2025-03-08,International,Capt. Sean Murphy,11340,19:15:00,20:45:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7630.0,,,,
223,ANA,Boeing 787-9,HND,LAX,248,2735.0,780,5470,2025-03-09,International,Capt. Kenji Sato,285200,14:00:00,06:00+1,Completed,29000,75400,89,0,Jet A-1,Business,-,2.2,63800.00000000001,120,1560,520,1600,500,67980.0,217220.0,,,,
224,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-03-10,Domestic,Capt. Leilani Koa,108420,08:30:00,13:30:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,63420.0,,,,
225,KLM,Boeing 787-10,AMS,SFO,293,2685.0,660,5370,2025-03-11,International,Capt. Pieter Van Dijk,366250,12:15:00,02:15+1,Completed,34000,88400,91,0,Jet A-1,Business,-,2.2,74800.0,120,1320,520,1600,500,78740.0,287510.0,,,,
226,Azul Brazilian Airlines,Embraer E195,GRU,CNF,124,140.0,70,400,2025-03-12,Domestic,Capt. Thiago Silva,21080,15:30:00,16:40:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,9600.0,,,,
227,Etihad Airways,Airbus A380-800,AUH,CDG,489,2550.0,420,3400,2025-03-13,International,Capt. Omar Khan,709050,04:00:00,12:00:00,Cancelled,48000,124800,95,-,Jet A-1,First Class,Technical Issues,2.2,105600.00000000001,120,840,900,1600,500,109440.00000000001,599610.0,,,,
228,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-03-14,Domestic,Capt. Lisa Brown,14880,16:15:00,17:00:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,5650.0,,,,
229,Virgin Atlantic,Airbus A350-1000,LHR,LAX,301,4080.0,660,5440,2025-03-15,International,Capt. Emma Wilson,421400,19:15:00,08:15+1,Completed,35000,91000,90,0,Jet A-1,First Class,-,2.2,77000.0,120,1320,900,1600,500,81320.0,340080.0,,,,
230,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-03-16,Domestic,Capt. Arjun Patel,13500,07:20:00,08:50:00,Completed,6500,16900,93,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-2420.000000000002,,,,
231,Delta Air Lines,Boeing 737-900,ATL,FLL,156,224.0,90,640,2025-03-17,Domestic,Capt. Robert Harris,28860,07:30:00,09:00:00,Completed,5800,15080,85,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,14479.999999999998,,,,
232,Emirates,Airbus A380-800,DXB,LHR,501,2565.0,420,3420,2025-03-18,International,Capt. Fatima Al-Mansoori,701400,14:30:00,21:30:00,Completed,51000,132600,96,0,Jet A-1,First Class,-,2.2,112200.00000000001,120,840,900,1600,500,116040.00000000001,585360.0,,,,
